date,city,weather,temperature,rainfall,public_holiday,festival,major_event,impact_percentage
2024-10-03,Hyderabad,Rain,27.5,15.5,No,Navratri Begins,None,12.2
2024-10-03,Indore,Clear,28.9,0.0,No,Navratri Begins,None,20.0
2024-10-03,Jaipur,Cloudy,31.8,0.0,No,Navratri Begins,None,10.4
2024-10-03,Kanpur,Clear,30.8,0.0,No,Navratri Begins,None,13.8
2024-10-03,Kochi,Cloudy,28.1,0.0,No,Navratri Begins,None,8.6
2024-10-03,Kolkata,Cloudy,30.5,0.0,No,Navratri Begins,None,15.0
2024-10-03,Lucknow,Clear,31.5,0.0,No,Navratri Begins,None,15.9
2024-10-03,Mumbai,Heavy Rain,33.5,66.7,No,Navratri Begins,None,4.5
2024-10-03,Nagpur,Cloudy,30.4,0.0,No,Navratri Begins,None,15.3
2024-10-03,Noida,Rain,25.9,8.3,No,Navratri Begins,None,8.8
2024-10-03,Pune,Clear,27.7,0.0,No,Navratri Begins,None,9.1
2024-10-04,Agra,Cloudy,33.9,0.0,No,None,None,0.0
2024-10-04,Ahmedabad,Clear,24.7,0.0,No,None,None,0.0
2024-10-04,Bahadurgarh,Haze,26.4,0.0,No,None,None,0.0
2024-10-04,Bengaluru,Clear,31.8,0.0,No,None,None,0.0
2024-10-04,Bhopal,Clear,32.4,0.0,No,None,None,0.0
2024-10-04,Chennai,Cloudy,29.1,0.0,No,None,None,0.0
2024-10-04,Delhi,Haze,28.4,0.0,No,None,None,0.0
2024-10-04,Faridabad,Clear,31.5,0.0,No,None,None,0.0
2024-10-04,Ghaziabad,Clear,24.2,0.0,No,None,None,0.0
2024-10-04,Greater Noida,Clear,25.3,0.0,No,None,None,0.0
2024-10-04,Gurugram,Haze,29.3,0.0,No,None,None,0.0
2024-10-04,Howrah,Rain,34.9,3.2,No,None,None,-2.6
2024-10-04,Hyderabad,Rain,31.8,10.6,No,None,None,-5.8
2024-10-04,Indore,Haze,29.0,0.0,No,None,None,0.0
2024-10-04,Jaipur,Clear,34.6,0.0,No,None,None,0.0
2024-10-04,Kanpur,Rain,26.2,9.8,No,None,None,-5.3
2024-10-04,Kochi,Clear,31.3,0.0,No,None,None,0.0
2024-10-04,Kolkata,Clear,30.4,0.0,No,None,None,0.0
2024-10-04,Lucknow,Clear,27.6,0.0,No,None,None,0.0
2024-10-04,Mumbai,Clear,28.5,0.0,No,None,None,0.0
2024-10-04,Nagpur,Cloudy,29.7,0.0,No,None,None,0.0
2024-10-04,Noida,Clear,32.5,0.0,No,None,None,0.0
2024-10-04,Pune,Clear,28.7,0.0,No,None,None,0.0
2024-10-05,Agra,Cloudy,30.2,0.0,No,None,None,0.0
2024-10-05,Ahmedabad,Clear,30.4,0.0,No,None,None,0.0
2024-10-05,Bahadurgarh,Haze,27.6,0.0,No,None,None,0.0
2024-10-05,Bengaluru,Clear,30.8,0.0,No,None,Exam Season,7.1
2024-10-05,Bhopal,Haze,35.5,0.0,No,None,None,0.0
2024-10-05,Chennai,Cloudy,30.1,0.0,No,None,None,0.0
2024-10-05,Delhi,Clear,28.9,0.0,No,None,None,0.0
2024-10-05,Faridabad,Clear,31.9,0.0,No,None,None,0.0
2024-10-05,Ghaziabad,Clear,32.0,0.0,No,None,None,0.0
2024-10-05,Greater Noida,Rain,28.7,3.2,No,None,None,-5.8
2024-10-05,Gurugram,Cloudy,27.9,0.0,No,None,None,0.0
2024-10-05,Howrah,Rain,30.0,16.8,No,None,None,-3.9
2024-10-05,Hyderabad,Haze,27.5,0.0,No,None,None,0.0
2024-10-05,Indore,Clear,24.4,0.0,No,None,None,0.0
2024-10-05,Jaipur,Cloudy,25.2,0.0,No,None,None,0.0
2024-10-05,Kanpur,Clear,26.9,0.0,No,None,None,0.0
2024-10-05,Kochi,Cloudy,27.7,0.0,No,None,None,0.0
2024-10-05,Kolkata,Heavy Rain,30.6,39.7,No,None,None,-12.4
2024-10-05,Lucknow,Clear,28.1,0.0,No,None,None,0.0
2024-10-05,Mumbai,Cloudy,29.9,0.0,No,None,None,0.0
2024-10-05,Nagpur,Clear,32.3,0.0,No,None,None,0.0
2024-10-05,Noida,Haze,31.7,0.0,No,None,Cricket Match,15.1
2024-10-05,Pune,Clear,27.8,0.0,No,None,None,0.0
2024-10-06,Agra,Clear,28.9,0.0,No,None,None,0.0
2024-10-06,Ahmedabad,Cloudy,29.8,0.0,No,None,None,0.0
2024-10-06,Bahadurgarh,Clear,31.5,0.0,No,None,None,0.0
2024-10-06,Bengaluru,Haze,26.7,0.0,No,None,None,0.0
2024-10-06,Bhopal,Clear,29.1,0.0,No,None,None,0.0
2024-10-06,Chennai,Clear,25.9,0.0,No,None,None,0.0
2024-10-06,Delhi,Clear,30.5,0.0,No,None,None,0.0
2024-10-06,Faridabad,Clear,31.9,0.0,No,None,None,0.0
2024-10-06,Ghaziabad,Haze,29.3,0.0,No,None,None,0.0
2024-10-06,Greater Noida,Clear,34.5,0.0,No,None,None,0.0
2024-10-06,Gurugram,Clear,27.8,0.0,No,None,None,0.0
2024-10-06,Howrah,Cloudy,31.5,0.0,No,None,None,0.0
2024-10-06,Hyderabad,Clear,28.9,0.0,No,None,None,0.0
2024-10-06,Indore,Clear,28.7,0.0,No,None,None,0.0
2024-10-06,Jaipur,Clear,29.7,0.0,No,None,None,0.0
2024-10-06,Kanpur,Cloudy,30.3,0.0,No,None,None,0.0
2024-10-06,Kochi,Heavy Rain,33.1,47.1,No,None,None,-10.0
2024-10-06,Kolkata,Heavy Rain,31.6,49.4,No,None,None,-15.8
2024-10-06,Lucknow,Clear,28.2,0.0,No,None,None,0.0
2024-10-06,Mumbai,Rain,32.9,8.8,No,None,None,-4.2
2024-10-06,Nagpur,Clear,34.5,0.0,No,None,None,0.0
2024-10-06,Noida,Clear,29.7,0.0,No,None,None,0.0
2024-10-06,Pune,Clear,23.5,0.0,No,None,None,0.0
2024-10-07,Agra,Cloudy,28.6,0.0,No,None,None,0.0
2024-10-07,Ahmedabad,Cloudy,32.1,0.0,No,None,None,0.0
2024-10-07,Bahadurgarh,Cloudy,31.4,0.0,No,None,None,0.0
2024-10-07,Bengaluru,Cloudy,29.6,0.0,No,None,None,0.0
2024-10-07,Bhopal,Cloudy,31.5,0.0,No,None,None,0.0
2024-10-07,Chennai,Cloudy,32.2,0.0,No,None,None,0.0
2024-10-07,Delhi,Clear,33.0,0.0,No,None,None,0.0
2024-10-07,Faridabad,Cloudy,32.3,0.0,No,None,None,0.0
2024-10-07,Ghaziabad,Clear,33.8,0.0,No,None,None,0.0
2024-10-07,Greater Noida,Clear,30.9,0.0,No,None,None,0.0
2024-10-07,Gurugram,Clear,32.3,0.0,No,None,None,0.0
2024-10-07,Howrah,Cloudy,30.2,0.0,No,None,None,0.0
2024-10-07,Hyderabad,Haze,27.5,0.0,No,None,None,0.0
2024-10-07,Indore,Haze,33.3,0.0,No,None,None,0.0
2024-10-07,Jaipur,Haze,30.5,0.0,No,None,None,0.0
2024-10-07,Kanpur,Clear,32.0,0.0,No,None,None,0.0
2024-10-07,Kochi,Heavy Rain,31.3,61.2,No,None,None,-14.0
2024-10-07,Kolkata,Heavy Rain,34.6,60.4,No,None,None,-13.0
2024-10-07,Lucknow,Cloudy,29.5,0.0,No,None,None,0.0
2024-10-07,Mumbai,Heavy Rain,35.5,32.9,No,None,None,-15.4
2024-10-07,Nagpur,Clear,28.5,0.0,No,None,None,0.0
2024-10-07,Noida,Clear,25.5,0.0,No,None,None,0.0
2024-10-07,Pune,Clear,33.7,0.0,No,None,None,0.0
2024-10-08,Agra,Cloudy,31.7,0.0,No,None,None,0.0
2024-10-08,Ahmedabad,Haze,28.8,0.0,No,None,None,0.0
2024-10-08,Bahadurgarh,Clear,29.1,0.0,No,None,None,0.0
2024-10-08,Bengaluru,Clear,31.7,0.0,No,None,None,0.0
2024-10-08,Bhopal,Cloudy,27.6,0.0,No,None,None,0.0
2024-10-08,Chennai,Clear,33.9,0.0,No,None,Tech Conference,6.0
2024-10-08,Delhi,Haze,30.6,0.0,No,None,None,0.0
2024-10-08,Faridabad,Clear,30.4,0.0,No,None,None,0.0
2024-10-08,Ghaziabad,Rain,29.6,4.9,No,None,None,-3.2
2024-10-08,Greater Noida,Clear,27.8,0.0,No,None,None,0.0
2024-10-08,Gurugram,Haze,25.9,0.0,No,None,None,0.0
2024-10-08,Howrah,Cloudy,32.5,0.0,No,None,None,0.0
2024-10-08,Hyderabad,Cloudy,30.6,0.0,No,None,None,0.0
2024-10-08,Indore,Clear,30.2,0.0,No,None,None,0.0
2024-10-08,Jaipur,Clear,31.0,0.0,No,None,None,0.0
2024-10-08,Kanpur,Clear,29.2,0.0,No,None,None,0.0
2024-10-08,Kochi,Cloudy,33.0,0.0,No,None,None,0.0
2024-10-08,Kolkata,Clear,30.9,0.0,No,None,None,0.0
2024-10-08,Lucknow,Clear,28.8,0.0,No,None,None,0.0
2024-10-08,Mumbai,Rain,30.2,16.1,No,None,Exam Season,-0.5
2024-10-08,Nagpur,Clear,24.8,0.0,No,None,None,0.0
2024-10-08,Noida,Clear,29.7,0.0,No,None,None,0.0
2024-10-08,Pune,Clear,27.9,0.0,No,None,None,0.0
2024-10-09,Agra,Haze,24.8,0.0,No,None,None,0.0
2024-10-09,Ahmedabad,Cloudy,30.0,0.0,No,None,None,0.0
2024-10-09,Bahadurgarh,Cloudy,29.0,0.0,No,None,Exam Season,5.5
2024-10-09,Bengaluru,Clear,31.1,0.0,No,None,Marathon,8.3
2024-10-09,Bhopal,Clear,32.7,0.0,No,None,None,0.0
2024-10-09,Chennai,Clear,31.9,0.0,No,None,None,0.0
2024-10-09,Delhi,Haze,30.1,0.0,No,None,None,0.0
2024-10-09,Faridabad,Clear,33.3,0.0,No,None,None,0.0
2024-10-09,Ghaziabad,Clear,34.2,0.0,No,None,None,0.0
2024-10-09,Greater Noida,Clear,32.8,0.0,No,None,None,0.0
2024-10-09,Gurugram,Clear,27.6,0.0,No,None,None,0.0
2024-10-09,Howrah,Rain,31.5,14.9,No,None,Cricket Match,10.6
2024-10-09,Hyderabad,Clear,34.7,0.0,No,None,None,0.0
2024-10-09,Indore,Cloudy,30.6,0.0,No,None,Trade Fair,8.5
2024-10-09,Jaipur,Clear,30.5,0.0,No,None,None,0.0
2024-10-09,Kanpur,Clear,29.8,0.0,No,None,None,0.0
2024-10-09,Kochi,Cloudy,32.0,0.0,No,None,None,0.0
2024-10-09,Kolkata,Cloudy,29.0,0.0,No,None,Marathon,6.3
2024-10-09,Lucknow,Rain,33.2,20.9,No,None,Trade Fair,2.1
2024-10-09,Mumbai,Cloudy,30.8,0.0,No,None,None,0.0
2024-10-09,Nagpur,Clear,29.8,0.0,No,None,None,0.0
2024-10-09,Noida,Clear,31.2,0.0,No,None,None,0.0
2024-10-09,Pune,Clear,31.5,0.0,No,None,None,0.0
2024-10-10,Agra,Clear,30.2,0.0,No,None,None,0.0
2024-10-10,Ahmedabad,Cloudy,32.5,0.0,No,None,Trade Fair,10.0
2024-10-10,Bahadurgarh,Cloudy,31.6,0.0,No,None,None,0.0
2024-10-10,Bengaluru,Cloudy,26.9,0.0,No,None,None,0.0
2024-10-10,Bhopal,Cloudy,34.4,0.0,No,None,None,0.0
2024-10-10,Chennai,Cloudy,32.2,0.0,No,None,None,0.0
2024-10-10,Delhi,Cloudy,31.8,0.0,No,None,Marathon,7.7
2024-10-10,Faridabad,Clear,27.9,0.0,No,None,None,0.0
2024-10-10,Ghaziabad,Clear,33.1,0.0,No,None,None,0.0
2024-10-10,Greater Noida,Clear,30.7,0.0,No,None,None,0.0
2024-10-10,Gurugram,Clear,25.2,0.0,No,None,None,0.0
2024-10-10,Howrah,Clear,33.6,0.0,No,None,None,0.0
2024-10-10,Hyderabad,Cloudy,27.6,0.0,No,None,None,0.0
2024-10-10,Indore,Clear,32.5,0.0,No,None,None,0.0
2024-10-10,Jaipur,Clear,29.8,0.0,No,None,None,0.0
2024-10-10,Kanpur,Clear,30.5,0.0,No,None,None,0.0
2024-10-10,Kochi,Clear,33.9,0.0,No,None,None,0.0
2024-10-10,Kolkata,Cloudy,28.8,0.0,No,None,None,0.0
2024-10-10,Lucknow,Clear,27.5,0.0,No,None,None,0.0
2024-10-10,Mumbai,Heavy Rain,30.5,29.6,No,None,None,-12.6
2024-10-10,Nagpur,Haze,24.8,0.0,No,None,Trade Fair,9.1
2024-10-10,Noida,Cloudy,28.5,0.0,No,None,None,0.0
2024-10-10,Pune,Cloudy,28.0,0.0,No,None,None,0.0
2024-10-11,Agra,Cloudy,25.4,0.0,No,Maha Ashtami,None,15.0
2024-10-11,Ahmedabad,Clear,29.0,0.0,No,Maha Ashtami,None,13.7
2024-10-11,Bahadurgarh,Clear,28.1,0.0,No,Maha Ashtami,None,16.9
2024-10-11,Bengaluru,Cloudy,27.3,0.0,No,Maha Ashtami,None,17.6
2024-10-11,Bhopal,Haze,32.8,0.0,No,Maha Ashtami,None,9.8
2024-10-11,Chennai,Rain,29.6,8.6,No,Maha Ashtami,None,13.9
2024-10-11,Delhi,Cloudy,28.0,0.0,No,Maha Ashtami,Trade Fair,19.6
2024-10-11,Faridabad,Clear,27.5,0.0,No,Maha Ashtami,None,12.6
2024-10-11,Ghaziabad,Cloudy,30.0,0.0,No,Maha Ashtami,None,19.8
2024-10-11,Greater Noida,Clear,33.0,0.0,No,Maha Ashtami,None,8.4
2024-10-11,Gurugram,Clear,29.5,0.0,No,Maha Ashtami,None,18.4
2024-10-11,Howrah,Clear,29.5,0.0,No,Maha Ashtami,None,14.4
2024-10-11,Hyderabad,Rain,28.8,20.7,No,Maha Ashtami,Marathon,17.3
2024-10-11,Indore,Clear,33.1,0.0,No,Maha Ashtami,None,10.0
2024-10-11,Jaipur,Clear,30.7,0.0,No,Maha Ashtami,None,19.7
2024-10-11,Kanpur,Clear,27.4,0.0,No,Maha Ashtami,None,11.0
2024-10-11,Kochi,Cloudy,31.4,0.0,No,Maha Ashtami,None,18.3
2024-10-11,Kolkata,Clear,28.9,0.0,No,Maha Ashtami,None,14.0
2024-10-11,Lucknow,Clear,28.5,0.0,No,Maha Ashtami,Tech Conference,14.9
2024-10-11,Mumbai,Rain,30.6,20.6,No,Maha Ashtami,None,8.6
2024-10-11,Nagpur,Clear,28.1,0.0,No,Maha Ashtami,None,16.9
2024-10-11,Noida,Cloudy,28.9,0.0,No,Maha Ashtami,None,9.6
2024-10-11,Pune,Clear,28.0,0.0,No,Maha Ashtami,None,18.7
2024-10-12,Agra,Cloudy,30.0,0.0,Yes,Dussehra,None,-0.3
2024-10-12,Ahmedabad,Cloudy,32.6,0.0,Yes,Dussehra,Film Premiere,4.7
2024-10-12,Bahadurgarh,Rain,30.9,18.3,Yes,Dussehra,Marathon,-3.1
2024-10-12,Bengaluru,Clear,28.4,0.0,Yes,Dussehra,None,1.8
2024-10-12,Bhopal,Clear,25.3,0.0,Yes,Dussehra,None,0.1
2024-10-12,Chennai,Clear,30.4,0.0,Yes,Dussehra,Film Premiere,11.6
2024-10-12,Delhi,Clear,27.4,0.0,Yes,Dussehra,None,-3.3
2024-10-12,Faridabad,Cloudy,33.5,0.0,Yes,Dussehra,None,-2.9
2024-10-12,Ghaziabad,Haze,30.4,0.0,Yes,Dussehra,None,0.5
2024-10-12,Greater Noida,Clear,32.1,0.0,Yes,Dussehra,None,-6.3
2024-10-12,Gurugram,Clear,33.0,0.0,Yes,Dussehra,Concert,13.9
2024-10-12,Howrah,Rain,23.8,5.7,Yes,Dussehra,None,-3.5
2024-10-12,Hyderabad,Cloudy,28.8,0.0,Yes,Dussehra,None,0.2
2024-10-12,Indore,Clear,29.2,0.0,Yes,Dussehra,None,-5.0
2024-10-12,Jaipur,Clear,32.6,0.0,Yes,Dussehra,None,2.6
2024-10-12,Kanpur,Haze,33.2,0.0,Yes,Dussehra,None,2.1
2024-10-12,Kochi,Rain,29.5,14.4,Yes,Dussehra,None,-14.1
2024-10-12,Kolkata,Clear,27.8,0.0,Yes,Dussehra,None,0.5
2024-10-12,Lucknow,Clear,34.3,0.0,Yes,Dussehra,None,-2.3
2024-10-12,Mumbai,Cloudy,30.0,0.0,Yes,Dussehra,None,-1.6
2024-10-12,Nagpur,Clear,35.1,0.0,Yes,Dussehra,None,-8.2
2024-10-12,Noida,Clear,31.6,0.0,Yes,Dussehra,None,-2.3
2024-10-12,Pune,Clear,31.5,0.0,Yes,Dussehra,None,-9.1
2024-10-13,Agra,Clear,28.8,0.0,No,None,None,0.0
2024-10-13,Ahmedabad,Clear,28.6,0.0,No,None,None,0.0
2024-10-13,Bahadurgarh,Haze,31.9,0.0,No,None,None,0.0
2024-10-13,Bengaluru,Clear,30.0,0.0,No,None,Marathon,4.1
2024-10-13,Bhopal,Clear,25.0,0.0,No,None,None,0.0
2024-10-13,Chennai,Rain,31.3,15.7,No,None,Tech Conference,0.5
2024-10-13,Delhi,Clear,30.8,0.0,No,None,None,0.0
2024-10-13,Faridabad,Cloudy,31.9,0.0,No,None,None,0.0
2024-10-13,Ghaziabad,Haze,32.2,0.0,No,None,None,0.0
2024-10-13,Greater Noida,Rain,28.3,24.6,No,None,None,-5.0
2024-10-13,Gurugram,Rain,32.2,7.1,No,None,None,-5.3
2024-10-13,Howrah,Cloudy,26.4,0.0,No,None,None,0.0
2024-10-13,Hyderabad,Cloudy,33.4,0.0,No,None,None,0.0
2024-10-13,Indore,Cloudy,31.1,0.0,No,None,None,0.0
2024-10-13,Jaipur,Clear,31.9,0.0,No,None,None,0.0
2024-10-13,Kanpur,Clear,32.4,0.0,No,None,None,0.0
2024-10-13,Kochi,Clear,32.4,0.0,No,None,None,0.0
2024-10-13,Kolkata,Heavy Rain,30.4,67.2,No,None,Film Premiere,-4.6
2024-10-13,Lucknow,Clear,31.4,0.0,No,None,None,0.0
2024-10-13,Mumbai,Rain,29.8,12.0,No,None,None,-3.8
2024-10-13,Nagpur,Clear,32.8,0.0,No,None,None,0.0
2024-10-13,Noida,Cloudy,28.3,0.0,No,None,None,0.0
2024-10-13,Pune,Clear,30.3,0.0,No,None,None,0.0
2024-10-14,Agra,Clear,32.7,0.0,No,None,None,0.0
2024-10-14,Ahmedabad,Haze,30.0,0.0,No,None,None,0.0
2024-10-14,Bahadurgarh,Cloudy,30.2,0.0,No,None,None,0.0
2024-10-14,Bengaluru,Clear,29.0,0.0,No,None,None,0.0
2024-10-14,Bhopal,Clear,28.9,0.0,No,None,None,0.0
2024-10-14,Chennai,Cloudy,29.6,0.0,No,None,None,0.0
2024-10-14,Delhi,Clear,28.9,0.0,No,None,None,0.0
2024-10-14,Faridabad,Clear,33.7,0.0,No,None,None,0.0
2024-10-14,Ghaziabad,Cloudy,29.7,0.0,No,None,None,0.0
2024-10-14,Greater Noida,Cloudy,28.0,0.0,No,None,Concert,13.3
2024-10-14,Gurugram,Cloudy,32.8,0.0,No,None,None,0.0
2024-10-14,Howrah,Clear,32.7,0.0,No,None,None,0.0
2024-10-14,Hyderabad,Rain,30.4,14.1,No,None,None,-3.3
2024-10-14,Indore,Clear,27.4,0.0,No,None,None,0.0
2024-10-14,Jaipur,Cloudy,29.4,0.0,No,None,None,0.0
2024-10-14,Kanpur,Clear,32.4,0.0,No,None,None,0.0
2024-10-14,Kochi,Rain,33.2,14.8,No,None,None,-5.7
2024-10-14,Kolkata,Rain,31.3,16.3,No,None,Film Premiere,5.2
2024-10-14,Lucknow,Cloudy,26.6,0.0,No,None,None,0.0
2024-10-14,Mumbai,Clear,29.4,0.0,No,None,None,0.0
2024-10-14,Nagpur,Rain,28.1,11.2,No,None,None,-4.1
2024-10-14,Noida,Haze,30.0,0.0,No,None,Film Premiere,5.8
2024-10-14,Pune,Clear,25.3,0.0,No,None,Trade Fair,8.7
2024-10-15,Agra,Clear,31.9,0.0,No,None,None,0.0
2024-10-15,Ahmedabad,Rain,31.1,7.1,No,None,None,-2.1
2024-10-15,Bahadurgarh,Clear,31.7,0.0,No,None,None,0.0
2024-10-15,Bengaluru,Clear,26.4,0.0,No,None,None,0.0
2024-10-15,Bhopal,Clear,29.0,0.0,No,None,None,0.0
2024-10-15,Chennai,Rain,30.7,24.6,No,None,None,-4.5
2024-10-15,Delhi,Clear,25.8,0.0,No,None,None,0.0
2024-10-15,Faridabad,Cloudy,36.2,0.0,No,None,None,0.0
2024-10-15,Ghaziabad,Clear,27.7,0.0,No,None,None,0.0
2024-10-15,Greater Noida,Haze,32.5,0.0,No,None,None,0.0
2024-10-15,Gurugram,Haze,32.4,0.0,No,None,None,0.0
2024-10-15,Howrah,Cloudy,28.5,0.0,No,None,None,0.0
2024-10-15,Hyderabad,Cloudy,30.2,0.0,No,None,None,0.0
2024-10-15,Indore,Clear,28.7,0.0,No,None,None,0.0
2024-10-15,Jaipur,Cloudy,31.4,0.0,No,None,None,0.0
2024-10-15,Kanpur,Clear,30.6,0.0,No,None,None,0.0
2024-10-15,Kochi,Rain,34.0,10.7,No,None,None,-4.6
2024-10-15,Kolkata,Rain,33.7,3.3,No,None,None,-5.7
2024-10-15,Lucknow,Rain,28.3,18.2,No,None,None,-2.6
2024-10-15,Mumbai,Cloudy,29.4,0.0,No,None,None,0.0
2024-10-15,Nagpur,Clear,31.0,0.0,No,None,None,0.0
2024-10-15,Noida,Rain,32.4,5.6,No,None,None,-3.0
2024-10-15,Pune,Haze,32.4,0.0,No,None,None,0.0
2024-10-16,Agra,Clear,30.6,0.0,No,None,None,0.0
2024-10-16,Ahmedabad,Haze,26.9,0.0,No,None,None,0.0
2024-10-16,Bahadurgarh,Clear,33.9,0.0,No,None,None,0.0
2024-10-16,Bengaluru,Haze,28.8,0.0,No,None,None,0.0
2024-10-16,Bhopal,Cloudy,29.3,0.0,No,None,None,0.0
2024-10-16,Chennai,Heavy Rain,30.2,28.9,No,None,None,-12.7
2024-10-16,Delhi,Clear,31.6,0.0,No,None,None,0.0
2024-10-16,Faridabad,Clear,28.0,0.0,No,None,None,0.0
2024-10-16,Ghaziabad,Clear,37.6,0.0,No,None,Cricket Match,15.5
2024-10-16,Greater Noida,Clear,26.9,0.0,No,None,None,0.0
2024-10-16,Gurugram,Clear,31.3,0.0,No,None,Marathon,6.8
2024-10-16,Howrah,Clear,31.2,0.0,No,None,None,0.0
2024-10-16,Hyderabad,Haze,30.4,0.0,No,None,None,0.0
2024-10-16,Indore,Cloudy,24.4,0.0,No,None,None,0.0
2024-10-16,Jaipur,Clear,28.3,0.0,No,None,None,0.0
2024-10-16,Kanpur,Cloudy,27.3,0.0,No,None,None,0.0
2024-10-16,Kochi,Rain,26.3,2.3,No,None,None,-5.9
2024-10-16,Kolkata,Clear,27.7,0.0,No,None,Trade Fair,10.1
2024-10-16,Lucknow,Clear,27.9,0.0,No,None,None,0.0
2024-10-16,Mumbai,Heavy Rain,32.0,52.2,No,None,None,-10.6
2024-10-16,Nagpur,Clear,30.9,0.0,No,None,None,0.0
2024-10-16,Noida,Clear,32.9,0.0,No,None,None,0.0
2024-10-16,Pune,Clear,29.0,0.0,No,None,None,0.0
2024-10-17,Agra,Cloudy,30.8,0.0,No,None,None,0.0
2024-10-17,Ahmedabad,Haze,30.3,0.0,No,None,None,0.0
2024-10-17,Bahadurgarh,Clear,30.4,0.0,No,None,None,0.0
